DATAHORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2022-01-01 00:33:00,0.2,4.7,9.4,51
2022-01-01 02:00:00,0.0,6.5,11.2,3
2022-01-01 02:55:23,0.1,4.5,7.6,51
2022-01-01 06:58:36,0.8,2.0,16.9,53
2022-01-01 08:28:40,0.6,10.5,21.2,53
2022-01-01 10:16:00,0.2,2.9,11.5,51
2022-01-01 10:22:00,0.0,15.7,36.7,3
2022-01-01 11:52:31,0.0,18.3,38.2,3
2022-01-01 12:21:00,0.3,16.9,37.8,51
2022-01-01 17:15:00,2.8,10.8,23.8,63
2022-01-01 17:36:55,0.2,8.3,20.9,51
2022-01-01 18:36:00,0.6,5.4,21.2,53
2022-01-01 19:48:53,0.0,5.6,11.9,3
2022-01-01 21:17:01,0.0,9.7,16.9,3
2022-01-02 06:11:00,0.0,5.7,9.7,3
2022-01-02 06:33:00,0.0,8.1,13.7,3
2022-01-02 09:33:33,0.0,9.4,21.6,2
2022-01-02 09:41:00,0.2,10.0,22.3,51
2022-01-02 11:43:00,0.1,9.2,26.3,51
2022-01-02 17:19:00,2.8,8.2,18.4,63
2022-01-02 17:20:00,0.0,6.2,14.8,3
2022-01-02 18:44:00,0.0,2.8,14.8,2
2022-01-02 19:46:00,0.0,3.9,7.6,2
2022-01-03 08:17:00,0.0,8.8,18.0,3
2022-01-03 15:30:31,1.4,5.9,15.1,61
2022-01-03 18:12:00,0.0,10.3,22.0,3
2022-01-03 19:27:00,0.0,5.5,9.7,3
2022-01-03 21:57:00,0.1,8.7,14.0,51
2022-01-04 00:30:00,0.0,10.8,18.0,0
2022-01-04 05:17:48,0.0,4.9,12.2,2
2022-01-04 10:15:00,2.7,23.9,45.4,63
2022-01-04 12:14:00,0.7,19.5,46.8,53
2022-01-04 13:25:44,1.1,13.9,37.8,55
2022-01-04 13:35:00,2.3,11.5,46.1,61
2022-01-04 13:51:00,0.3,16.6,41.0,51
2022-01-04 15:07:00,3.4,12.3,37.1,63
2022-01-04 17:23:00,0.0,6.6,13.7,3
2022-01-04 20:29:00,1.1,11.2,23.8,55
2022-01-04 21:27:00,0.5,9.8,19.1,53
2022-01-04 22:07:00,0.5,14.1,26.3,53
2022-01-04 23:28:03,0.1,8.6,17.3,51
2022-01-04 23:42:00,0.7,14.2,28.4,53
2022-01-05 01:29:00,0.3,14.7,28.8,51
2022-01-05 02:42:00,0.0,14.9,28.4,3
2022-01-05 06:34:00,0.0,21.7,34.6,3
2022-01-05 06:56:00,0.0,18.5,35.6,3
2022-01-05 08:04:39,1.2,13.4,24.8,55
2022-01-05 10:55:16,0.3,19.0,40.3,51
2022-01-05 11:15:00,3.0,18.1,41.4,63
2022-01-05 14:45:00,0.1,13.0,32.0,51
2022-01-05 14:57:53,0.9,14.3,41.8,53
2022-01-05 15:25:00,0.3,16.8,36.7,51
2022-01-05 15:52:00,0.5,15.6,41.0,53
