DATAHORA,CHUVA,VENTO,RAJADA,CODIGO_TEMPO
2020-01-01 09:14:00,0.0,9.4,22.0,3
2020-01-01 11:33:00,0.2,13.2,32.4,51
2020-01-01 14:15:00,0.0,8.0,27.4,2
2020-01-01 18:22:00,3.9,7.6,39.2,63
2020-01-01 18:59:00,0.0,2.6,14.8,3
2020-01-01 22:27:00,3.3,7.7,16.2,63
2020-01-02 05:48:00,0.0,4.0,5.8,3
2020-01-02 05:59:00,0.0,4.5,7.9,3
2020-01-02 12:08:00,0.5,14.2,30.2,53
2020-01-02 14:06:00,0.4,12.7,29.9,51
2020-01-02 14:12:00,5.8,9.8,28.8,63
2020-01-02 17:32:00,1.8,5.6,27.0,61
2020-01-02 17:34:00,1.0,3.2,22.3,55
2020-01-02 18:51:00,0.2,4.3,11.2,51
2020-01-02 21:00:00,0.4,4.9,13.3,51
2020-01-02 22:16:00,0.8,4.8,9.7,53
2020-01-02 22:50:00,2.7,3.8,6.8,63
2020-01-02 23:12:00,3.0,5.9,11.9,63
2020-01-03 00:35:00,2.7,3.3,9.0,63
2020-01-03 00:44:00,2.7,6.0,13.0,63
2020-01-03 02:46:00,1.0,2.6,9.0,55
2020-01-03 06:54:00,0.0,12.6,27.4,3
2020-01-03 11:42:00,0.2,6.3,16.6,51
2020-01-03 14:57:00,0.1,15.0,32.8,51
2020-01-03 17:09:00,0.4,21.0,38.5,51
2020-01-03 21:20:00,0.0,10.0,13.7,3
2020-01-03 21:20:00,0.0,10.0,13.7,3
2020-01-03 21:32:00,0.3,4.3,17.6,51
2020-01-04 00:52:00,0.0,6.6,18.4,2
2020-01-04 08:02:00,0.0,8.7,20.9,2
2020-01-04 10:53:00,0.1,10.8,25.9,51
2020-01-04 11:10:00,0.0,5.8,26.6,0
2020-01-04 11:33:00,0.0,10.6,27.4,2
2020-01-04 14:15:00,0.0,5.9,26.3,3
2020-01-04 15:10:00,9.0,7.9,17.6,65
2020-01-04 15:40:00,1.4,9.9,31.0,61
2020-01-04 16:31:00,3.6,16.0,36.4,63
2020-01-04 17:12:00,3.0,17.3,35.6,63
2020-01-04 17:26:00,0.2,10.2,24.1,51
2020-01-04 18:30:00,0.6,12.2,26.6,53
2020-01-04 20:27:00,2.1,0.4,11.9,61
2020-01-04 20:33:00,3.7,0.4,4.0,63
2020-01-04 22:08:00,0.6,1.9,6.1,53
2020-01-04 22:44:00,0.2,4.8,14.4,51
2020-01-05 05:51:00,0.0,4.4,7.6,2
2020-01-05 06:39:00,0.0,6.9,15.1,3
2020-01-05 11:51:00,0.1,14.0,35.6,51
2020-01-05 17:54:00,0.2,9.7,22.0,51
2020-01-05 18:09:00,0.4,8.1,28.8,51
2020-01-05 19:27:00,0.0,3.1,12.2,3
2020-01-05 20:10:00,0.3,6.0,11.5,51
2020-01-05 21:48:00,0.0,4.3,9.7,3
2020-01-05 22:10:00,0.1,6.6,11.2,51
2020-01-05 23:22:00,0.2,5.7,10.1,51
2020-01-05 23:36:00,0.0,2.5,4.7,1
2020-01-06 00:19:00,0.0,4.9,7.9,0
2020-01-06 01:52:00,0.0,6.7,9.4,0
2020-01-06 03:53:00,0.0,4.8,11.2,1
